Run,Generation,PopSize,Nodes,AvgFitness,BestFitness,AvgSize
0,0,10000,109770,1843.2405841693674,29.274649455058515,10.977
1,1,10000,110226,355.09669962002783,25.368840804353727,11.0226
1,2,10000,142772,4000.2612982233645,25.368840804353727,14.2772
1,3,10000,194648,315.29747770906573,24.593599556608737,19.4648
1,4,10000,252438,171.44555072220794,24.593599556608737,25.2438
1,5,10000,306404,117.4025476733953,24.593599556608737,30.6404
1,6,10000,351616,281.65455306842404,22.419334917289625,35.1616
1,7,10000,412242,124.90811613363039,22.40629526185352,41.2242
1,8,10000,498002,107.12412268456164,22.40629526185352,49.8002
1,9,10000,574268,85.3133518918208,22.13213737975619,57.4268
1,10,10000,650054,75.9276333256908,21.736546409480905,65.0054
1,11,10000,731954,71.59609954323285,21.140769645988915,73.1954
1,12,10000,808010,61.204440028973785,20.782281481324894,80.801
1,13,10000,912846,64.80463402467186,20.782281481324894,91.2846
1,14,10000,1085388,81.42980781183394,19.44752355031941,108.5388
1,15,10000,1276504,72.52946229993215,19.10574583222719,127.6504
1,16,10000,1415710,59.909704662958404,18.998203724801133,141.571
1,17,10000,1541632,59.37638720458589,17.341198898463155,154.1632
1,18,10000,1659618,61.31586260676958,16.66223636569165,165.9618
1,19,10000,1783798,64.52047117424107,14.653926472318796,178.3798
1,20,10000,1974038,64.61893784795234,14.653926472318796,197.4038
1,21,10000,2242110,57.33705571670113,14.653926472318796,224.211
1,22,10000,2706248,67.42369325002137,13.624857687260118,270.6248
1,23,10000,3263276,70.11363027266889,13.236563513861721,326.3276
1,24,10000,3744988,62.754133809600305,12.946384410340686,374.4988
1,25,10000,4001104,86.31794034661543,11.891348333486668,400.1104
1,26,10000,4354736,78.86310355904848,11.891348333486668,435.4736
1,27,10000,4843956,55.73993070358907,11.891348333486668,484.3956
1,28,10000,5134214,52.710464371553066,11.891348333486668,513.4214
1,29,10000,5312524,40.98133885615566,11.891348333486668,531.2524
1,30,10000,5672046,79.11957195850783,11.783747848369593,567.2046
1,31,10000,6060290,76.95741922834411,11.10832806482554,606.029
1,32,10000,6486642,72.15912053194141,10.236356394287904,648.6642
1,33,10000,6941470,50.43215676802515,10.236356394287904,694.147
1,34,10000,7361378,41.28776586364067,10.236351125270648,736.1378
1,35,10000,7714082,50.66389561057203,10.202788910058441,771.4082
1,36,10000,8417884,36.78093915063529,9.354196133860233,841.7884
1,37,10000,9345406,74.79664350802915,9.102686612073262,934.5406
1,38,10000,9890192,101.66215799669642,9.102531608522584,989.0192
1,39,10000,9714224,68.02482838983256,9.102531608522584,971.4224
1,40,10000,9424206,123.34573799673254,8.419852685282372,942.4206
1,41,10000,9517854,66.29553926223862,8.41985268369447,951.7854
1,42,10000,9988078,56.365714748425155,8.419852683694206,998.8078
1,43,10000,10506430,62.03164772316775,8.419747280584541,1050.643
1,44,10000,10777952,78.96194337834102,7.92121955733314,1077.7952
1,45,10000,10852116,64.2064738048574,7.897745688500548,1085.2116
1,46,10000,11142976,129.50398690076122,7.703059124671092,1114.2976
1,47,10000,11727190,93.68972448810602,7.427560600730668,1172.719
1,48,10000,12773618,119.692800122537,7.043998612079003,1277.3618
1,49,10000,13533354,182.45081892428618,7.043937083257899,1353.3354
1,50,10000,13582986,125.26380703398671,6.992263067294078,1358.2986
1,51,10000,13875128,135.52025021103842,6.942559198023052,1387.5128
1,52,10000,14701830,116.7576212470489,6.914372431052708,1470.183
1,53,10000,15280294,91.95006954901152,6.868038784286766,1528.0294
1,54,10000,15175090,62.67436076434045,6.770710402091493,1517.509
1,55,10000,14587740,214.60428459219202,6.565032766984958,1458.774
1,56,10000,14591694,76.61961380957284,6.565032766984958,1459.1694
1,57,10000,16290346,53.83930324652926,6.450850337854766,1629.0346
1,58,10000,18572552,90.19611751489748,6.445690373438414,1857.2552
1,59,10000,20494362,93.70108844247109,6.3727998254741784,2049.4362
0,0,10000,109136,1579.5191301595169,31.281279487372732,10.9136
2,1,10000,111584,316.57113719442816,25.316199649202858,11.1584
2,2,10000,145632,149.46218593208,25.29955198256746,14.5632
2,3,10000,197690,94.10298091517619,25.29955198256746,19.769
2,4,10000,258312,113.66778642390575,24.801640586318083,25.8312
2,5,10000,310694,153.47205662803714,24.78335807605634,31.0694
2,6,10000,355416,137.33119942390925,24.758037862542892,35.5416
2,7,10000,400368,117.05197189464154,24.758037862542892,40.0368
2,8,10000,440908,73.26911414641316,24.568865948730195,44.0908
2,9,10000,466120,66.15413862321272,24.3311087400139,46.612
2,10,10000,495114,73.24510321248977,24.3311087400139,49.5114
2,11,10000,553846,92.17501791356564,22.575045326751695,55.3846
2,12,10000,624878,65.96662156824398,21.80792608355408,62.4878
2,13,10000,755622,54.064300150201575,21.19366790288944,75.5622
2,14,10000,955124,48.9314709969025,19.622608608304322,95.5124
2,15,10000,1196458,49.36635181116118,15.718708112694143,119.6458
2,16,10000,1331972,50.027352994887686,15.718708112694143,133.1972
2,17,10000,1384262,42.79380077687283,15.718708112694143,138.4262
2,18,10000,1437126,59.66146534918199,15.718708112694143,143.7126
2,19,10000,1532024,50.86898920349232,15.041078139923258,153.2024
2,20,10000,1631260,40.675176350767146,15.041078139923258,163.126
2,21,10000,1861464,41.18725847336112,14.757733584022969,186.1464
2,22,10000,2268034,37.765206922748646,14.612611943037933,226.8034
2,23,10000,2825460,39.943384607079416,14.03270146123205,282.546
2,24,10000,3277024,70.851275177714,13.141636310017024,327.7024
2,25,10000,3634686,99.02226869564447,12.524416208773838,363.4686
2,26,10000,3819716,45.43205505874085,8.896641556127733,381.9716
2,27,10000,3840330,42.38219978040197,8.896641556127733,384.033
2,28,10000,3937432,42.51980932711444,8.55349980677896,393.7432
2,29,10000,4203396,2792.033725811733,6.09127305442864,420.3396
2,30,10000,4676236,61.06938797493271,3.9395756622053506,467.6236
2,31,10000,5347710,199.88752254243613,3.754842877611819,534.771
2,32,10000,5618664,91.98615953436993,3.6720324651538134,561.8664
2,33,10000,5713564,149.36229098591858,3.610959978293226,571.3564
2,34,10000,6075850,80.5540968876188,3.3882561251677465,607.585
